2025-05-09 10:14:02 | INFO     | trading_bot.logging_config  | Logging initialised — file: logs/trading_bot.log
2025-05-09 10:14:02 | INFO     | trading_bot.client          | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2025-05-09 10:14:02 | INFO     | trading_bot.orders          | Placing MARKET order: BUY BTCUSDT qty=0.001
2025-05-09 10:14:02 | INFO     | trading_bot.client          | REQUEST  POST /fapi/v1/order — params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1746778442381, 'recvWindow': 5000}
2025-05-09 10:14:03 | INFO     | trading_bot.client          | RESPONSE POST /fapi/v1/order — HTTP 200 — body: {"orderId":4046228312,"symbol":"BTCUSDT","status":"FILLED","clientOrderId":"testnet_abc123","price":"0","avgPrice":"62345.10","origQty":"0.001","executedQty":"0.001","cumQty":"0.001","cumQuote":"62.34510","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","updateTime":1746778443012}
2025-05-09 10:14:03 | INFO     | trading_bot.orders          | Order placed successfully: {'orderId': 4046228312, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'testnet_abc123', 'price': '0', 'avgPrice': '62345.10', 'origQty': '0.001', 'executedQty': '0.001', 'type': 'MARKET', 'side': 'BUY', 'updateTime': 1746778443012}
2025-05-09 10:17:35 | INFO     | trading_bot.logging_config  | Logging initialised — file: logs/trading_bot.log
2025-05-09 10:17:35 | INFO     | trading_bot.client          | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2025-05-09 10:17:35 | INFO     | trading_bot.orders          | Placing LIMIT order: SELL BTCUSDT qty=0.001 price=64000.00 tif=GTC
2025-05-09 10:17:35 | INFO     | trading_bot.client          | REQUEST  POST /fapi/v1/order — params: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.001', 'price': '64000.00', 'timeInForce': 'GTC', 'timestamp': 1746778655892, 'recvWindow': 5000}
2025-05-09 10:17:36 | INFO     | trading_bot.client          | RESPONSE POST /fapi/v1/order — HTTP 200 — body: {"orderId":4046229104,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"testnet_def456","price":"64000.00","avgPrice":"0","origQty":"0.001","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","updateTime":1746778656204}
2025-05-09 10:17:36 | INFO     | trading_bot.orders          | Order placed successfully: {'orderId': 4046229104, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'testnet_def456', 'price': '64000.00', 'avgPrice': '0', 'origQty': '0.001', 'executedQty': '0', 'type': 'LIMIT', 'side': 'SELL', 'updateTime': 1746778656204}
2025-05-09 10:22:11 | INFO     | trading_bot.logging_config  | Logging initialised — file: logs/trading_bot.log
2025-05-09 10:22:11 | INFO     | trading_bot.client          | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2025-05-09 10:22:11 | INFO     | trading_bot.orders          | Placing STOP_LIMIT order: BUY BTCUSDT qty=0.001 price=65000.00 stopPrice=64500.00
2025-05-09 10:22:11 | INFO     | trading_bot.client          | REQUEST  POST /fapi/v1/order — params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'STOP', 'quantity': '0.001', 'price': '65000.00', 'stopPrice': '64500.00', 'timeInForce': 'GTC', 'timestamp': 1746778931447, 'recvWindow': 5000}
2025-05-09 10:22:12 | INFO     | trading_bot.client          | RESPONSE POST /fapi/v1/order — HTTP 200 — body: {"orderId":4046229987,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"testnet_ghi789","price":"65000.00","avgPrice":"0","origQty":"0.001","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"STOP","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"64500.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP","updateTime":1746778932018}
2025-05-09 10:22:12 | INFO     | trading_bot.orders          | Order placed successfully: {'orderId': 4046229987, 'symbol': 'BTCUSDT', 'status': 'NEW', 'price': '65000.00', 'stopPrice': '64500.00', 'origQty': '0.001', 'executedQty': '0', 'type': 'STOP', 'side': 'BUY', 'updateTime': 1746778932018}
2025-05-09 10:25:44 | INFO     | trading_bot.logging_config  | Logging initialised — file: logs/trading_bot.log
2025-05-09 10:25:44 | INFO     | trading_bot.client          | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2025-05-09 10:25:44 | INFO     | trading_bot.orders          | Placing LIMIT order: BUY ETHUSDT qty=0.05 price=2900.00 tif=GTC
2025-05-09 10:25:44 | INFO     | trading_bot.client          | REQUEST  POST /fapi/v1/order — params: {'symbol': 'ETHUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': '0.05', 'price': '2900.00', 'timeInForce': 'GTC', 'timestamp': 1746779144621, 'recvWindow': 5000}
2025-05-09 10:25:44 | ERROR    | trading_bot.client          | API_ERR  code=-2019 msg=Margin is insufficient.
2025-05-09 10:25:44 | ERROR    | trading_bot.orders          | API error placing order: Binance API error -2019: Margin is insufficient.
2025-05-09 10:31:07 | INFO     | trading_bot.logging_config  | Logging initialised — file: logs/trading_bot.log
2025-05-09 10:31:07 | INFO     | trading_bot.client          | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2025-05-09 10:31:07 | INFO     | trading_bot.orders          | Placing MARKET order: SELL ETHUSDT qty=0.01
2025-05-09 10:31:07 | INFO     | trading_bot.client          | REQUEST  POST /fapi/v1/order — params: {'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'MARKET', 'quantity': '0.01', 'timestamp': 1746779467883, 'recvWindow': 5000}
2025-05-09 10:31:08 | INFO     | trading_bot.client          | RESPONSE POST /fapi/v1/order — HTTP 200 — body: {"orderId":4046231556,"symbol":"ETHUSDT","status":"FILLED","clientOrderId":"testnet_jkl012","price":"0","avgPrice":"3088.45","origQty":"0.01","executedQty":"0.01","cumQty":"0.01","cumQuote":"30.8845","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","updateTime":1746779468301}
2025-05-09 10:31:08 | INFO     | trading_bot.orders          | Order placed successfully: {'orderId': 4046231556, 'symbol': 'ETHUSDT', 'status': 'FILLED', 'avgPrice': '3088.45', 'origQty': '0.01', 'executedQty': '0.01', 'type': 'MARKET', 'side': 'SELL', 'updateTime': 1746779468301}
